ID,invariant or data,rank/class,unloaded value,role,admissibility and caveat
KIN-I01,tr(C),rank 3,3,first characteristic invariant,minimal local parity-even isotropic set
KIN-I02,"1/2[(tr C)^2-tr(C^2)]",rank 3,3,second characteristic invariant,minimal local parity-even isotropic set
KIN-I03,det(C),rank 3,1,volume/orientation information,minimal set; require positive nonzero physical branch
KIN-I04,sqrt(det C),rank 3,1,volume coordinate,equivalent coordinate subject to stretch convention
KIN-I05,"invariants of Cbar=(det C)^(-1/3) C",rank 3,unloaded isotropic values,two independent isochoric/shear coordinates,equivalent to I01-I03 away from det C=0
KIN-I06,"e_n(C), n=1..4",rank 4,"(4,6,4,1)",complete characteristic data for genuine clock-ruler comparison,four generally required; Lorentzian real branch must be specified
KIN-I07,"tr(epsilon), epsilon_TF with epsilon=(C-1)/2",linearized rank 3 or 4,0,weak-field volume and shear variables,valid only as tangent variables
KIN-I08,"H=(1/2) log C and its characteristic invariants",positive-spectrum branch,0,finite-deformation coordinate,admissible only when a real logarithm/branch exists
KIN-I09,"orientation/parity pseudoscalars",orientation-sensitive class,model-dependent,parity-odd response,excluded from minimal set absent PBUF premise
KIN-I10,"covariant derivatives of C or curvature",gradient enrichment,0 on homogeneous reference,higher-kinematic data,admissible but not required or selected
KIN-I11,"two-point invariants/bitensor contractions",nonlocal class,model-dependent,nonlocal kinematic data,requires causal covariant kernel structure not supplied
KIN-I12,"invariants involving independent U^mu",mixed scalar-plus-frame class,model-dependent,temporal/spatial split,only if a physical medium congruence is established
