candidate_a_code,candidate_b_code,pearson_kappa_a,pearson_kappa_b,pearson_kappa_diff,final_level,best_transform,median_trajectory_correlation,median_derivative_correlation,median_normalized_rms_distance,median_sign_agreement,long_mode_corr,trans_mode_corr,exchange_R_return_diff,n_metrics_evaluated
T1,T4,0.12083605390356067,0.12083605390356067,0.0,Level 4 (representation equivalence),R3,0.9999327913237899,0.9999323817364003,0.01158396695149379,1.0,0.9999792971246655,0.9999791245816827,0.0,2550
T1,T5,0.12083605390356067,0.12083605390356067,0.0,Level 3 (dynamical equivalence),R3,0.9920266688974373,0.9862238592177394,0.10629446604672448,0.9777715773809523,0.9948374838806527,0.9999872827372471,0.0,2550
T1,T6,0.12083605390356067,0.12083605390356067,0.0,Level 3 (dynamical equivalence),R3,0.9917797133987807,0.9870609001813029,0.15056695657508748,0.9603329613095238,0.8252164788501328,0.9999971690487942,0.0,2550
T1,T9,0.12083605390356067,0.12083605390356067,0.0,Level 4 (representation equivalence),R3,0.9997495175460578,0.9997331944091725,0.01883098459662083,0.9976748511904762,0.9998882571525571,0.9999932245881341,0.0,2550
T1,T10,0.12083605390356067,0.12083605390356067,0.0,Level 3 (dynamical equivalence),R3,0.9779904270572859,0.963650824775189,0.20922207985017485,0.9533575148809523,0.9789307906870517,0.999977045597075,0.0,2550
T4,T5,0.12083605390356067,0.12083605390356067,0.0,Level 3 (dynamical equivalence),R3,0.9938212231087826,0.9876345224316171,0.0975673833570226,0.9777715773809523,0.9953483294030143,0.9999984390163361,0.0,2550
T4,T6,0.12083605390356067,0.12083605390356067,0.0,Level 3 (dynamical equivalence),R3,0.989978093822501,0.9879824364274477,0.16608575644883306,0.9603329613095238,0.8228627234047726,0.9999877661032153,0.0,2550
T4,T9,0.12083605390356067,0.12083605390356067,0.0,Level 4 (representation equivalence),R3,0.9999396699328549,0.9999139896694282,0.01098454069546162,0.9976748511904762,0.99996258747742,0.999996091668796,0.0,2550
T4,T10,0.12083605390356067,0.12083605390356067,0.0,Level 3 (dynamical equivalence),R3,0.9766247820868902,0.9636508247751873,0.21637847848986824,0.9533575148809523,0.9778431699905195,0.9999999369242902,0.0,2550
T5,T6,0.12083605390356067,0.12083605390356067,0.0,Level 3 (dynamical equivalence),R3,0.997480623622221,0.9959576288421015,0.07232825168332077,0.9765625,0.8725124052224645,0.9999949133893337,0.0,2550
T5,T9,0.12083605390356067,0.12083605390356067,0.0,Level 3 (dynamical equivalence),R3,0.9941024279439279,0.9897154973752484,0.10426077264022882,0.9751209077380952,0.9962255453904078,0.9999997146053241,0.0,2550
T5,T10,0.12083605390356067,0.12083605390356067,0.0,Level 3 (dynamical equivalence),R3,0.9743507572576378,0.9041485844307552,0.1908992743427024,0.9532180059523809,0.9533942418924036,0.999998457474043,0.0,2550
T6,T9,0.12083605390356067,0.12083605390356067,0.0,Level 3 (dynamical equivalence),R3,0.9913182986056635,0.9892557292488593,0.15001433586593255,0.9596819196428571,0.826623448750112,0.9999969306322255,0.0,2550
T6,T10,0.12083605390356067,0.12083605390356067,0.0,Level 3 (dynamical equivalence),R3,0.9719958881202904,0.9184231424196648,0.2088173368061853,0.9609840029761905,0.8628872875829319,0.9999898768891218,0.0,2550
T9,T10,0.12083605390356067,0.12083605390356067,0.0,Level 3 (dynamical equivalence),R3,0.979912467666957,0.9636324626578328,0.20233090528440859,0.951171875,0.9758251414088847,0.9999964723378537,0.0,2550
