cluster_id,model,lt_closure_max_abs,lt_closure_pass,helmholtz_closure_max_abs,helmholtz_closure_pass,f_par_energy_fraction,f_perp_energy_fraction,f_irr_energy_fraction,f_sol_energy_fraction
Abell2744,C10,2.7755575615628914e-17,True,0.0,True,0.08763642660618919,0.9119358314670292,0.05310620912730136,0.9160146183975998
Abell2744,A8,5.551115123125783e-17,True,0.0,True,0.027569392575417836,0.9716243832308955,0.03928774890056228,0.9385929325675034
MACS0416,C10,5.551115123125783e-17,True,0.0,True,0.06554436233729853,0.933416198378624,0.057578713249991385,0.9100798856030531
MACS0416,A8,5.551115123125783e-17,True,0.0,True,0.027055506135945578,0.968459761778421,0.04463709365368801,0.931844201630085
MACS1149,C10,2.7755575615628914e-17,True,0.0,True,0.06809460018272402,0.9310603436077591,0.03647097047390086,0.9511920940591422
MACS1149,A8,5.551115123125783e-17,True,0.0,True,0.05359974549140833,0.938678562536395,0.04357992632383174,0.9417157210300989
AbellS1063,C10,5.551115123125783e-17,True,0.0,True,0.06294964765239074,0.936481334266976,0.025904125675720893,0.9625002146448473
AbellS1063,A8,2.7755575615628914e-17,True,0.0,True,0.033936503855535566,0.9564019686939349,0.032645903849220684,0.9538059172373965
Abell370,C10,5.551115123125783e-17,True,0.0,True,0.06977773245708337,0.929624159696636,0.050136585377783975,0.9257054971115553
Abell370,A8,5.551115123125783e-17,True,0.0,True,0.024472940846237454,0.9744544360340354,0.0445408810598215,0.9345453272972801
