criterion,PBUF_evidence_or_boundary,required_status,compatible_families,discriminating_result
Wave propagation,"V11 sec. 2.4 calls gravitational and electromagnetic signals modes of the same medium and requires their present speeds to agree; FND work says inertial versus overdamped dynamics remains unresolved","Required dynamically, but the kinetic law and mode content are missing","linear elastic; hyperelastic; nonlocal; micromorphic/Cosserat; gradient; relativistic elastic solid","Eliminates no elastic family by itself; disfavors naive parabolic relaxation as a fundamental relativistic law"
Energy storage,"V11 identifies an elastic stress/density sector; MEDIUM-001 requires an action/effective action for nondissipative response","Required for the native elastic sector","linear elastic; hyperelastic; nonlocal elastic; micromorphic elastic; gradient elastic; relativistic elastic solid","Favors action-based elastic families over primarily viscous or hereditary ones"
Recovery after deformation,"MB-001 contains a conditional recovery term and FND-002 requires a stable unloaded equilibrium for finite susceptibility; exact microscopic potential is not authoritative","Required at least near equilibrium","all stable elastic families","Excludes ordinary fluids as a full identity and makes irreversible plastic/damage families inadmissible as the native class"
Shear support,"PBUF uses rigidity and identifies gravitational waves with medium modes, but V11 supplies no local tensor strain or shear modulus; a scalar MB projection cannot establish shear","Required for a full solid-like/GR tensor completion, unresolved in the current scalar projection","tensor/vector linear or hyperelastic solids; micromorphic/Cosserat; tensor gradient/nonlocal elasticity","Excludes ordinary fluids; prevents selecting a scalar-only constitutive ontology"
Long-range/nonlocal response,"MEDIUM-001 explicitly leaves local differential propagation, derivative response, and genuine constitutive nonlocality open; V11's homogeneous history probes only zero wave number","Admissible but not established as intrinsic","local elasticity via propagation; gradient elasticity; causal nonlocal elasticity; micromorphic models with internal lengths","Does not discriminate local-gradient from genuinely nonlocal response"
Saturation behaviour,"V11's S(a) is a scale-factor-dependent background activation/saturation factor; it is not a local stress-strain saturation law. FND-002 permits nonlinear recovery terms away from equilibrium","Background saturation required; local constitutive saturation undetermined","nonlinear hyperelastic and nonlinear enrichments can accommodate it; linear elasticity only locally","Rules out treating globally linear elasticity as a complete native law, but does not select a nonlinear functional"
Thermal dependence,"V11 makes epsilon_0,T(a) and alpha_T(a) thermal/background inputs and describes temperature-dependent rigidity","Required at background level; local dependence and thermodynamic variables remain missing","all elastic shortlist families can carry prescribed state dependence","Strongly disfavors athermal closure as complete, but does not select a family"
Stability and causality,"Operational Lorentz invariance, standard GR, causal cones, positive static response, and a retarded inverse are required; no kinetic operator is supplied","Mandatory gate","covariant hyperelastic/linear tangent, stable gradient, causal nonlocal, controlled micromorphic","Excludes naive instantaneous spacetime action-at-a-distance, unstable kernels, ghost modes, and acausal diffusion as fundamental dynamics"
Existing ontology,"Physical elastic medium; homogeneous elastic stress; thermal rigidity; stable coarse-grained sector; unresolved chi tensor type, locality, dynamics, and metric map","Must preserve all authoritative facts and all explicit unknowns","hyperelastic umbrella plus local/gradient/causal-nonlocal realizations; micromorphic only conditionally","Viscoelastic, fractional, fluid, plastic, and damage identities add unsupported native features"
Effective GR limit,"V11 keeps Lorentz invariance, Einstein equations, standard matter coupling, and one physical metric intact; MEDIUM-001 requires diffeomorphism invariance, Noether consistency, standard normalization, and decoupling/hiding of extra modes","Mandatory gate","relativistic covariant versions of shortlisted elastic families","No classical family passes automatically; this criterion selects covariant realizations and can later eliminate extra-mode/nonlocal completions"
