key,candidate,family,pbuf_compatibility,potential_role,stability,differentiability,constitutive_admissibility,neighbour_interaction,stored_energy,recovery,wave_propagation,progressive_hardening,finite_energy_compatibility,emergent_metric_compatibility,emergent_duration_compatibility,weak_field_compatibility,mathematical_simplicity,governing_equation_readiness
E01,Hookean linear elasticity,classical elastic,conditional,weak-field limit,conditional,yes,conditional,balance-only/none,yes,Exact elastic return in its infinitesimal domain.,Supports nondispersive longitudinal and shear waves with positive inertia.,None; tangent is constant.,conditional,conditional,compatible,Required Lamé-type tangent when moduli are positive.,high,high
E02,Saint-Venant-Kirchhoff,classical hyperelastic,conditional,baseline/rejected complete law,conditional,yes,conditional,intrinsic,yes,Reversible on a stable branch.,Conditional elastic waves where strong ellipticity holds.,Not reliably progressive; can soften under finite loading.,conditional,conditional,compatible,Matches Hooke elasticity.,high,partial
E03,Compressible neo-Hookean,isotropic hyperelastic,conditional,constitutive law,conditional,yes,conditional,intrinsic,yes,Reversible to the unique energy minimum.,Finite elastic waves if the tangent is strongly elliptic.,Usually mild; no finite-chain stiffening.,conditional,conditional,compatible,Positive Lamé tangent with suitable U.,high,partial
E04,Mooney-Rivlin,isotropic hyperelastic,conditional,constitutive law,conditional,yes,conditional,intrinsic,yes,Reversible on a stable parameter branch.,Conditional on positive acoustic tensor and inertia.,Parameter-dependent; not necessarily monotone.,conditional,conditional,compatible,Can share the common positive tangent.,high,partial
E05,Ogden principal-stretch series,isotropic hyperelastic,conditional,constitutive family,conditional,yes,conditional,intrinsic,yes,Reversible on stable branches.,Conditional; acoustic tensor can lose positivity for some parameters.,Can harden or soften depending on exponents and coefficients.,conditional,conditional,compatible,Parameters can be constrained to the frozen tangent.,moderate/low,partial
E06,Yeoh/reduced polynomial,progressive hyperelastic,conditional,constitutive law,conditional,yes,conditional,intrinsic,yes,Reversible if energy remains single-well.,Conditional on tangent positivity and kinetic closure.,Natural for nonnegative higher coefficients.,conditional,conditional,compatible,Quadratic tangent is selectable.,moderate/low,partial
E07,Gent finite extensibility,finite-extensible hyperelastic,conditional,constitutive law,conditional,yes,conditional,intrinsic,yes,Reversible within the open elastic domain.,Conditional before the barrier.,Strong asymptotic hardening.,conditional,conditional,compatible,Reduces to neo-Hooke at small strain.,high,partial
E08,Arruda-Boyce eight-chain,finite-extensible hyperelastic,conditional,constitutive exemplar,conditional,yes,conditional,balance-only/none,yes,Reversible below chain limit.,Conditional elastic waves.,Progressive finite-chain hardening.,conditional,conditional,compatible,Neo-Hookean leading limit.,moderate/low,partial
E09,Fung-Demiray exponential,progressive hyperelastic,conditional,constitutive law,conditional,yes,conditional,intrinsic,yes,Reversible idealization.,Conditional on strong ellipticity.,Strong smooth progressive hardening.,conditional,conditional,compatible,Expansion supplies a quadratic weak tangent.,high,partial
E10,Hencky logarithmic elasticity,strain-measure hyperelastic,conditional,constitutive coordinate/baseline,conditional,yes,conditional,intrinsic,yes,Reversible on SPD domain.,Conditional where ellipticity holds.,Constant in H; not progressive along log-strain rays.,conditional,conditional,compatible,Matches linear elasticity.,high,partial
