id,principle,classification,all_count,all_total,all_frequency,viable_count,viable_total,viable_frequency
P01,Objective native deformation,Necessary,17,44,0.3864,15,23,0.6522
P02,Invariant stored energy,Necessary,41,44,0.9318,23,23,1.0
P03,Reference equilibrium and normalization,Necessary,32,44,0.7273,22,23,0.9565
P04,Differentiable stress response,Necessary,41,44,0.9318,22,23,0.9565
P05,Positive weak-field tangent,Necessary,44,44,1.0,23,23,1.0
P06,Admissible-domain stability,Necessary,35,44,0.7955,20,23,0.8696
P07,Conservative recovery,Necessary,34,44,0.7727,23,23,1.0
P08,Spatial communication,Necessary,44,44,1.0,23,23,1.0
P09,Weak-field wave support,Necessary,44,44,1.0,23,23,1.0
P10,Progressive elastic hardening,Conditional,22,44,0.5,11,23,0.4783
P11,Coercive large-deformation growth,Conditional,7,44,0.1591,6,23,0.2609
P12,Finite extensibility / barrier,Optional,5,44,0.1136,4,23,0.1739
P13,Intrinsic gradient dependence,Optional,7,44,0.1591,2,23,0.087
P14,Integral nonlocality,Optional,3,44,0.0682,2,23,0.087
P15,Dissipation and rate dependence,Optional,9,44,0.2045,3,23,0.1304
P16,Extra internal state or preferred structure,Incompatible,18,44,0.4091,1,23,0.0435
P17,Irreversible complete response,Incompatible,7,44,0.1591,1,23,0.0435
P18,Pure fluid/no shear storage,Incompatible,5,44,0.1136,0,23,0.0
