id,assumption_or_claim,status,type,reason_or_source,required_for,unresolved_boundary
STATE-A01,The medium is fundamentally three-dimensional,authoritative working ontology,physical premise,STATE-001 brief and inherited PBUF ontology,Starting ontology,Not derived by V11
STATE-A02,A history may be represented as an ordered curve of physical states,conditional inheritance,mathematical representation,TIME-001 architecture,State-history analysis,Physical emergence remains unestablished
STATE-A03,One history position denotes one physical state class,definitional within a single-valued curve,mathematical consequence,Definition of a function,Identity uniqueness,Does not imply unique actual state
STATE-A04,Gauge-related configurations describe one state,necessary requirement,physical identification,Covariance and avoidance of descriptive overcounting,Physical-state definition,Exact gauge group is absent
STATE-A05,A complete state contains sufficient Cauchy data,necessary conditional requirement,physical/mathematical bridge,TIME-001 and initial-value meaning,Continuation and observables,Exact fields constraints and boundary data absent
STATE-A06,A complete global state exists for every admissible universe,not established,physical claim,Requires suitable global causal structure,Universal-state ontology,Global hyperbolicity/Cauchy slicing not supplied
STATE-A07,Exactly one universal state is physically actual,not established,physical claim,Not implied by ordered-history notation,Single-actual-state ontology,Needs actuality principle
STATE-A08,The complete ordered history is physically actual,not established,physical claim,Also compatible with the mathematics,Whole-history ontology,Needs actuality principle
STATE-A09,Past states are earlier ordered members,conditional structural result,ontological representation,Follows from an oriented history if one exists,Meaning of past,Does not decide continued actuality
STATE-A10,Past states physically coexist with the current state,ambiguous and not established,physical claim,Depends on meaning of coexistence and actuality ontology,Past ontology,Same-state coexistence must be separated from whole-history existence
STATE-A11,Past records are encoded in the current state,conditional requirement,physical claim,True under a single-state records ontology only if records are part of complete data,Reconstruction,Encoding and fidelity dynamics absent
STATE-A12,Reconstruction is motion through an extra dimension,rejected,category error,Inference/preparation occurs within the current state,Interpretation of reconstruction,No traversal follows
STATE-A13,Exact past reconstruction is possible,not established,dynamical claim,Needs complete data invertible evolution and boundary control,Reconstructibility,Coarse graining stochasticity and causal access unresolved
STATE-A14,Emergent time makes dynamics irreversible,rejected as direct consequence,dynamical claim,Order alone permits reversible or irreversible laws,Temporal reversal,Requires dynamics/boundary conditions
STATE-A15,Parameter reversal is physical temporal reversal,rejected,mathematical convenience,Relabeling alone changes no invariant history,Reversal audit,Physical reversal transforms state data and must satisfy dynamics
STATE-A16,A prepared state matching past observables is numerically the earlier universe,rejected,physical identity claim,Global records and ordering relations differ,Identity through time,No criterion supports numerical identity
STATE-A17,A foliation label selects a physical universal present,not established,physical claim,Coordinate slicing is generally representational in the V11 GR limit,Global now,Needs actuality-and-slicing principle
STATE-A18,No observable preferred foliation survives,required matching condition,physical constraint,V11 operational Lorentz invariance,Effective relativistic limit,Underlying succession must be gauge/hidden or compatibly derived
STATE-A19,Determinism gives unique actuality,rejected,logical distinction,A unique continuation law does not decide what exists,Ontology/dynamics separation,Actuality remains independent
STATE-A20,V11 cosmological time or scale factor supplies the unique microscopic present,not established,physical claim,V11 variables are effective homogeneous quantities,V11 matching,Use would be circular and locally insufficient
STATE-A21,Single-actual growing-history and whole-history ontologies remain admissible,current result,classification,No supplied principle selects among them,Outcome C family,Compatibility tests remain incomplete
STATE-A22,A global actuality-and-slicing principle is required,current result,missing principle,Needed to select realization status and preserve relativistic covariance,Outcome D closure,Must coordinate with TIME and GEOMETRY closure
